"species","longitude","latitude","geometry"
"flexuosus",-110.695507,36.537874,"POINT (-110.6955 36.53787)"
"flexuosus",-113.42779,37.287554,"POINT (-113.4278 37.28755)"
"flexuosus",-115.422742,36.149866,"POINT (-115.4227 36.14987)"
"flexuosus",-115.495567,36.158974,"POINT (-115.4956 36.15897)"
"flexuosus",-112.458542,34.903664,"POINT (-112.4585 34.90366)"
"flexuosus",-114.51221,36.43721,"POINT (-114.5122 36.43721)"
"flexuosus",-114.15,36.53,"POINT (-114.15 36.53)"
"flexuosus",-115.423931,36.153999,"POINT (-115.4239 36.154)"
"flexuosus",-113.399422,37.272383,"POINT (-113.3994 37.27238)"
"flexuosus",-113.570629,37.399022,"POINT (-113.5706 37.39902)"
"flexuosus",-115.47682,36.125868,"POINT (-115.4768 36.12587)"
"flexuosus",-115.398001,36.049333,"POINT (-115.398 36.04933)"
"flexuosus",-112.429146,34.646398,"POINT (-112.4291 34.6464)"
"flexuosus",-111.386575,36.903112,"POINT (-111.3866 36.90311)"
"flexuosus",-113.264717,37.2713,"POINT (-113.2647 37.2713)"
"flexuosus",-111.651227,35.936775,"POINT (-111.6512 35.93677)"
"flexuosus",-114.51859,36.458385,"POINT (-114.5186 36.45838)"
"flexuosus",-111.788484,34.905156,"POINT (-111.7885 34.90516)"
"flexuosus",-115.374887,38.352242,"POINT (-115.3749 38.35224)"
"flexuosus",-115.372947,38.353778,"POINT (-115.3729 38.35378)"
"flexuosus",-112.84609,36.87925,"POINT (-112.8461 36.87925)"
"flexuosus",-113.462818,36.698605,"POINT (-113.4628 36.6986)"
"flexuosus",-115.353187,36.63626,"POINT (-115.3532 36.63626)"
"flexuosus",-115.91999,36.33851,"POINT (-115.92 36.33851)"
"flexuosus",-115.483672,36.123567,"POINT (-115.4837 36.12357)"
"flexuosus",-115.503953,36.178265,"POINT (-115.504 36.17827)"
"flexuosus",-111.510423,36.87916,"POINT (-111.5104 36.87916)"
"flexuosus",-115.41,38.05,"POINT (-115.41 38.05)"
"flexuosus",-114.203967,37.011533,"POINT (-114.204 37.01153)"
"flexuosus",-114.20285,36.488083,"POINT (-114.2028 36.48808)"
"flexuosus",-115.972617,36.702298,"POINT (-115.9726 36.7023)"
"flexuosus",-115.291601,36.84061,"POINT (-115.2916 36.84061)"
"flexuosus",-115.288194,37.694694,"POINT (-115.2882 37.69469)"
"flexuosus",-114.646389,38.131167,"POINT (-114.6464 38.13117)"
"flexuosus",-114.257528,37.066611,"POINT (-114.2575 37.06661)"
"flexuosus",-113.687051,37.350917,"POINT (-113.6871 37.35092)"
"flexuosus",-114.607767,38.319701,"POINT (-114.6078 38.3197)"
